DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
967,19190610,    0,     ,
967,19190611,    0,     ,
967,19190612,    0,     ,
967,19190613,   14,     ,
967,19190614,    0,     ,
967,19190615,    0,     ,
967,19190616,    0,     ,
967,19190617,    0,     ,
967,19190618,    0,     ,
967,19190619,    0,     ,
967,19190620,    0,     ,
967,19190621,    0,     ,
967,19190622,   33,     ,
967,19190623,    0,     ,
967,19190624,   68,     ,
967,19190625,  104,     ,
967,19190626,   13,     ,
967,19190627,   18,     ,
967,19190628,    2,     ,
967,19190629,   37,     ,
967,19190630,   62,     ,
967,19190701,    5,     ,
967,19190702,   35,     ,
967,19190703,   20,     ,
967,19190704,    1,     ,
967,19190705,   37,     ,
967,19190706,    0,     ,
967,19190707,    0,     ,
967,19190708,    0,     ,
967,19190709,    3,     ,
967,19190710,    3,     ,
967,19190711,   76,     ,
967,19190712,    4,     ,
967,19190713,   55,     ,
967,19190714,   23,     ,
967,19190715,   53,     ,
967,19190716,    5,     ,
967,19190717,    1,     ,
967,19190718,    0,     ,
967,19190719,    0,     ,
967,19190720,   92,     ,
967,19190721,   73,     ,
967,19190722,   14,     ,
967,19190723,  139,     ,
967,19190724,   79,     ,
967,19190725,   18,     ,
967,19190726,   10,     ,
967,19190727,    0,     ,
967,19190728,   36,     ,
967,19190729,   32,     ,
967,19190730,   68,     ,
967,19190731,    0,     ,
967,19190801,    0,     ,
967,19190802,    6,     ,
967,19190803,  316,     ,
967,19190804,    0,     ,
967,19190805,    0,     ,
967,19190806,   18,     ,
967,19190807,    0,     ,
967,19190808,    0,     ,
967,19190809,    0,     ,
967,19190810,    0,     ,
967,19190811,    0,     ,
967,19190812,    0,     ,
967,19190813,    0,     ,
967,19190814,    0,     ,
967,19190815,    0,     ,
967,19190816,    0,     ,
967,19190817,    5,     ,
967,19190818,    0,     ,
967,19190819,    0,     ,
967,19190820,    0,     ,
967,19190821,  142,     ,
967,19190822,    0,     ,
967,19190823,    0,     ,
967,19190824,   59,     ,
967,19190825,   20,     ,
967,19190826,   14,     ,
967,19190827,   11,     ,
967,19190828,    8,     ,
967,19190829,   37,     ,
967,19190830,   58,     ,
967,19190831,   23,     ,
967,19190901,    0,     ,
967,19190902,    0,     ,
967,19190903,    0,     ,
967,19190904,    0,     ,
967,19190905,    0,     ,
967,19190906,    0,     ,
967,19190907,    0,     ,
967,19190908,    0,     ,
967,19190909,    0,     ,
967,19190910,    0,     ,
967,19190911,    0,     ,
967,19190912,    0,     ,
967,19190913,    0,     ,
967,19190914,   93,     ,
967,19190915,  109,     ,
967,19190916,    0,     ,
967,19190917,    0,     ,
967,19190918,    0,     ,
967,19190919,    0,     ,
967,19190920,   66,     ,
967,19190921,    0,     ,
967,19190922,   19,     ,
967,19190923,    4,     ,
967,19190924,   77,     ,
967,19190925,    0,     ,
967,19190926,    0,     ,
967,19190927,   38,     ,
967,19190928,   21,     ,
967,19190929,  149,     ,
967,19190930,    0,     ,
