Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,28-06-1960,tot:,14-09-2018,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D0802,001,28-09-1979,268,283,1694,,,,,,
B46D0802,001,15-10-1979,279,294,1683,,,,,,
B46D0802,001,29-10-1979,286,301,1676,,,,,,
B46D0802,001,15-11-1979,286,301,1676,,,,,,
B46D0802,001,29-11-1979,285,300,1677,,,,,,
B46D0802,001,14-12-1979,276,291,1686,,,,,,
B46D0802,001,28-12-1979,245,260,1717,,,,,,
B46D0802,001,14-01-1980,212,227,1750,,,,,,
B46D0802,001,28-01-1980,230,245,1732,,,,,,
B46D0802,001,14-02-1980,187,202,1775,,,,,,
B46D0802,001,28-02-1980,204,219,1758,,,,,,
B46D0802,001,17-03-1980,197,212,1765,,,,,,
B46D0802,001,28-03-1980,215,230,1747,,,,,,
B46D0802,001,14-04-1980,188,203,1774,,,,,,
B46D0802,001,28-04-1980,203,218,1759,,,,,,
B46D0802,001,14-05-1980,224,239,1738,,,,,,
B46D0802,001,28-05-1980,238,253,1724,,,,,,
B46D0802,001,14-06-1980,264,279,1698,,,,,,
B46D0802,001,30-06-1980,273,288,1689,,,,,,
B46D0802,001,14-07-1980,246,261,1716,,,,,,
B46D0802,001,28-07-1980,217,232,1745,,,,,,
B46D0802,001,14-08-1980,238,253,1724,,,,,,
B46D0802,001,28-08-1980,254,269,1708,,,,,,
B46D0802,001,15-09-1980,262,277,1700,,,,,,
B46D0802,001,29-09-1980,270,285,1692,,,,,,
B46D0802,001,14-10-1980,277,292,1685,,,,,,
B46D0802,001,28-10-1980,269,284,1693,,,,,,
B46D0802,001,28-11-1980,281,296,1681,,,,,,
B46D0802,001,15-12-1980,272,287,1690,,,,,,
B46D0802,001,29-12-1980,258,273,1704,,,,,,
B46D0802,001,14-01-1981,224,239,1738,,,,,,
B46D0802,001,28-01-1981,196,211,1766,,,,,,
B46D0802,001,16-02-1981,187,202,1775,,,,,,
B46D0802,001,27-02-1981,186,201,1776,,,,,,
B46D0802,001,16-03-1981,145,160,1817,,,,,,
B46D0802,001,27-03-1981,146,161,1816,,,,,,
B46D0802,001,14-04-1981,179,194,1783,,,,,,
B46D0802,001,28-04-1981,197,212,1765,,,,,,
B46D0802,001,14-05-1981,212,227,1750,,,,,,
B46D0802,001,29-05-1981,219,234,1743,,,,,,
B46D0802,001,15-06-1981,229,244,1733,,,,,,
B46D0802,001,29-06-1981,243,258,1719,,,,,,
B46D0802,001,14-07-1981,244,259,1718,,,,,,
B46D0802,001,28-07-1981,242,257,1720,,,,,,
B46D0802,001,14-08-1981,258,273,1704,,,,,,
B46D0802,001,28-08-1981,271,286,1691,,,,,,
B46D0802,001,14-09-1981,288,303,1674,,,,,,
B46D0802,001,28-09-1981,289,304,1673,,,,,,
B46D0802,001,14-10-1981,292,307,1670,,,,,,
B46D0802,001,28-10-1981,278,293,1684,,,,,,
B46D0802,001,13-11-1981,271,286,1691,,,,,,
B46D0802,001,27-11-1981,262,277,1700,,,,,,
B46D0802,001,14-12-1981,236,251,1726,,,,,,
B46D0802,001,28-12-1981,227,242,1735,,,,,,
B46D0802,001,15-01-1982,199,214,1763,,,,,,
B46D0802,001,28-01-1982,199,214,1763,,,,,,
B46D0802,001,15-02-1982,180,195,1782,,,,,,
B46D0802,001,01-03-1982,186,201,1776,,,,,,
B46D0802,001,15-03-1982,196,211,1766,,,,,,
B46D0802,001,29-03-1982,274,289,1688,,,,,,
B46D0802,001,14-04-1982,294,309,1668,,,,,,
B46D0802,001,29-04-1982,248,263,1714,,,,,,
B46D0802,001,14-05-1982,250,265,1712,,,,,,
B46D0802,001,28-05-1982,250,265,1712,,,,,,
B46D0802,001,15-06-1982,271,286,1691,,,,,,
B46D0802,001,28-06-1982,277,292,1685,,,,,,
B46D0802,001,14-07-1982,347,362,1615,,,,,,
B46D0802,001,28-07-1982,381,396,1581,,,,,,
B46D0802,001,13-08-1982,402,417,1560,,,,,,
B46D0802,001,27-08-1982,406,421,1556,,,,,,
B46D0802,001,14-09-1982,421,436,1541,,,,,,
B46D0802,001,28-09-1982,426,441,1536,,,,,,
B46D0802,001,14-10-1982,435,450,1527,,,,,,
B46D0802,001,28-10-1982,439,454,1523,,,,,,
B46D0802,001,15-11-1982,438,453,1524,,,,,,
B46D0802,001,29-11-1982,436,451,1526,,,,,,
B46D0802,001,14-12-1982,412,427,1550,,,,,,
B46D0802,001,28-12-1982,400,415,1562,,,,,,
B46D0802,001,14-01-1983,394,409,1568,,,,,,
B46D0802,001,28-01-1983,387,402,1575,,,,,,
B46D0802,001,14-02-1983,355,370,1607,,,,,,
B46D0802,001,28-02-1983,341,356,1621,,,,,,
B46D0802,001,14-03-1983,344,359,1618,,,,,,
B46D0802,001,28-03-1983,346,361,1616,,,,,,
B46D0802,001,14-04-1983,332,347,1630,,,,,,
B46D0802,001,28-04-1983,306,321,1656,,,,,,
B46D0802,001,14-05-1983,298,313,1664,,,,,,
B46D0802,001,30-05-1983,282,297,1680,,,,,,
B46D0802,001,14-06-1983,285,300,1677,,,,,,
B46D0802,001,28-06-1983,304,319,1658,,,,,,
B46D0802,001,14-07-1983,327,342,1635,,,,,,
B46D0802,001,28-07-1983,347,362,1615,,,,,,
B46D0802,001,15-08-1983,359,374,1603,,,,,,
B46D0802,001,29-08-1983,369,384,1593,,,,,,
B46D0802,001,14-09-1983,393,408,1569,,,,,,
B46D0802,001,28-09-1983,399,414,1563,,,,,,
B46D0802,001,17-10-1983,412,427,1550,,,,,,
B46D0802,001,27-10-1983,418,433,1544,,,,,,
B46D0802,001,14-11-1983,421,436,1541,,,,,,
B46D0802,001,28-11-1983,411,426,1551,,,,,,
B46D0802,001,14-12-1983,421,436,1541,,,,,,
B46D0802,001,27-12-1983,427,442,1535,,,,,,
B46D0802,001,13-01-1984,423,438,1539,,,,,,
B46D0802,001,27-01-1984,408,423,1554,,,,,,
B46D0802,001,14-02-1984,382,397,1580,,,,,,
B46D0802,001,28-02-1984,357,372,1605,,,,,,
B46D0802,001,14-03-1984,348,363,1614,,,,,,
B46D0802,001,28-03-1984,353,368,1609,,,,,,
B46D0802,001,13-04-1984,368,383,1594,,,,,,
B46D0802,001,27-04-1984,366,381,1596,,,,,,
B46D0802,001,14-05-1984,368,383,1594,,,,,,
B46D0802,001,28-05-1984,362,377,1600,,,,,,
B46D0802,001,14-06-1984,333,348,1629,,,,,,
B46D0802,001,28-06-1984,319,334,1643,,,,,,
B46D0802,001,13-07-1984,335,350,1627,,,,,,
B46D0802,001,27-07-1984,344,359,1618,,,,,,
B46D0802,001,14-08-1984,351,366,1611,,,,,,
B46D0802,001,28-08-1984,357,372,1605,,,,,,
B46D0802,001,14-09-1984,377,392,1585,,,,,,
B46D0802,001,28-09-1984,360,375,1602,,,,,,
B46D0802,001,15-10-1984,349,364,1613,,,,,,
B46D0802,001,29-10-1984,330,345,1632,,,,,,
B46D0802,001,14-11-1984,309,324,1653,,,,,,
B46D0802,001,27-11-1984,318,333,1644,,,,,,
B46D0802,001,14-12-1984,295,310,1667,,,,,,
B46D0802,001,28-12-1984,287,302,1675,,,,,,
B46D0802,001,14-01-1985,284,299,1678,,,,,,
B46D0802,001,28-01-1985,276,291,1686,,,,,,
