,PB05_1
2011-08-28,12.650000000000002
2011-09-14,12.650000000000002
2011-09-28,12.54
2011-10-14,12.55
2011-10-28,12.560000000000002
2011-11-14,12.54
2011-11-28,12.55
2011-12-14,12.719999999999999
2011-12-28,13.04
2012-01-14,13.25
2012-01-28,13.330000000000002
2012-02-28,13.3
2012-03-14,13.29
2012-03-28,13.060000000000002
2012-04-14,13.170000000000002
2012-04-28,13.09
2012-05-14,13.05
2012-05-28,12.73
2012-06-14,12.91
2012-06-28,12.86
2012-07-14,12.920000000000002
2012-07-28,12.600000000000001
2012-08-14,12.400000000000002
2012-08-28,12.46
2012-09-14,12.34
2012-09-28,12.52
2012-10-14,12.71
2012-10-28,12.52
2012-11-14,12.71
2012-11-28,12.79
2012-12-14,12.969999999999999
2012-12-28,13.3
2013-01-14,13.34
2013-02-14,13.41
2013-02-28,13.400000000000002
2013-03-14,13.39
2013-03-28,13.41
2013-04-14,13.23
2013-04-28,13.16
2013-05-14,13.100000000000001
2013-05-28,13.170000000000002
2013-06-14,12.86
2013-06-28,12.810000000000002
2013-07-14,12.54
2013-07-28,12.510000000000002
2013-08-14,12.260000000000002
2013-08-28,12.21
2013-09-14,12.310000000000002
2013-09-28,12.400000000000002
2013-10-14,12.440000000000001
2013-10-28,12.55
2013-11-14,12.850000000000001
2013-11-28,12.879999999999999
2013-12-14,12.920000000000002
2013-12-28,13.129999999999999
2014-01-14,13.18
2014-01-28,13.23
2014-02-14,13.23
2014-02-28,13.25
2014-03-14,13.16
2014-03-28,13.11
2014-04-14,12.969999999999999
2014-04-28,12.870000000000001
2014-05-14,12.89
2014-05-28,12.8
2014-06-14,12.719999999999999
2014-06-28,12.36
2014-07-14,12.86
2014-07-28,12.77
2014-08-14,12.84
2014-08-28,12.969999999999999
2014-09-14,12.82
2014-09-28,12.760000000000002
2014-10-14,12.920000000000002
2014-10-28,13.02
2014-11-14,12.850000000000001
2014-11-28,12.900000000000002
2014-12-14,12.96
2014-12-28,13.11
2015-01-14,13.43
2015-01-28,13.45
2015-02-14,13.41
2015-02-28,13.45
2015-03-14,13.379999999999999
2015-03-28,13.330000000000002
2015-04-14,13.310000000000002
2015-04-28,13.23
2015-05-14,13.080000000000002
